,Lane,Summoner,Champion,Kills,Deaths,Assists,Killing_Spree,Multikills,Total_Damage,Damage_To_Objectives,Damage_To_Turrets,Damage_Taken,Gold_Earned,Champ_Level,Wards_Bought,Vision_Score,Crowd_Controls,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,champion_name
9188,NONE,jzi1KuZywtn1gGHKF1buLcHxcIh-95_r9-ynPa2hmspXbVE,350,0,3,11,0,0,5414,4017,947,5941,5752,10,3,30,11,3174,1082,3158,3098,0,1052,3364,Yuumi
9236,NONE,4BMcVQZG_DW8WyAEcVH1peUH9msBPXBb9lCBQOCrFI8751g,350,0,3,6,0,0,4353,334,334,6525,4202,8,4,21,12,2031,2055,3098,1001,3174,0,3364,Yuumi
9240,NONE,VU48wfp7HR6qLPrLNRzGP8LhW_KTk8UdWKKupse7oegVKZI,99,4,1,13,3,2,8246,5016,3987,3440,7806,10,5,28,28,3504,3174,2055,3098,3117,0,3364,Lux
9286,NONE,NiH_3bFSPAbd-ifxPvqOJ3UJgHMVj3J3MUD601wV6PvC19w,223,0,3,0,0,0,7386,0,0,11073,4394,10,2,8,19,3068,2033,0,1001,0,0,3340,TahmKench
9318,NONE,42fnxd7u9v4KdfC2HBO5CGFqPosXns38MStJqGYxW2oY_aU,99,1,0,8,0,1,4324,1551,1237,3460,4995,9,2,16,21,3174,3098,0,1004,3117,0,3364,Lux
9416,NONE,ph4f527t_Thv0SI4bbuw2jd6M3Uz1q4Q0Rjvzl--91iLUV8,350,0,1,5,0,0,3284,1763,1525,3773,3917,9,2,17,7,3098,0,2055,3028,0,3108,3364,Yuumi
9460,NONE,9VauTtupP16Qk7WT_j9-5xNH9eWvbZhcHXQm6sDjHjb83g,99,1,0,1,0,1,2555,2561,2561,1001,3748,7,3,8,13,3098,2003,0,1052,3117,0,3364,Lux
9474,NONE,r1xViWmQQrf88kJxHXzjne5DGP_bKHyPjW2nJQG3oM88TKA,497,1,4,3,0,1,1116,0,0,7002,3651,7,2,20,3,2003,3096,2424,3009,1028,3114,3364,Rakan
9660,NONE,HtOqoE5h0JJGVfnkUJbOI97tyn4rUMOg81dCpIwLpkcJJQ,43,10,3,8,10,2,15952,2770,2770,9511,9524,12,3,12,18,2031,1056,3285,2422,3174,1058,3340,Karma
9895,NONE,YHPIr5TKetU0IpJdtFkc093ZPI10zQXwcB4-9CA160BflvM,111,2,5,3,0,1,4737,382,382,13175,4956,8,1,7,23,3401,3067,3117,2003,1031,0,3340,Nautilus
9948,NONE,GYHpqOvR5s8rUkgJbIaRZ97xozIbFxZxiZisHlYeTMY4NQ,25,4,5,1,3,2,5740,3104,0,9369,6159,11,1,15,16,3108,2424,3030,1082,3113,1001,3364,Morgana
9954,NONE,lKYb70uhM5wWvr1isz2l-NfPMRrN_AGXb_ndcCZ6Fh2hZMUzQDznx9te,16,0,4,0,0,0,3984,237,237,7307,3437,6,2,18,20,2031,3098,1082,1052,2055,1001,3364,Soraka
