,Lane,Summoner,Champion,Kills,Deaths,Assists,Killing_Spree,Multikills,Total_Damage,Damage_To_Objectives,Damage_To_Turrets,Damage_Taken,Gold_Earned,Champ_Level,Wards_Bought,Vision_Score,Crowd_Controls,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,champion_name
3025,JUNGLE,ByfP6WmGH-gcQ27v4YEY4ozFMgaitftEsyAtp07VfMsXPQ,79,11,2,12,11,1,26350,14383,338,30750,15260,18,5,36,31,3089,3020,3157,3165,1402,0,3364,Gragas
3034,JUNGLE,BTxv7HMHOmHSXv-_P5Z6JRWnmXZ3HayvUgEfp3q2WccqQcA,113,3,8,9,0,1,16646,21452,510,42918,11557,15,8,39,35,1413,3193,3047,3083,3105,1033,3364,Sejuani
3064,JUNGLE,LJVxPzegjaOX4Z0kHPqD0Wwe_uJhL4UW_Pdla4p8GKfUSw,203,9,9,3,3,2,14157,2085,0,17736,8767,10,1,15,9,1412,3085,3006,1038,1037,0,3364,Kindred
3079,JUNGLE,DPl0vgitZPqPIDniWncWLl1qUeGoFlQrt2LxkEnGp90wSg,121,12,7,6,4,2,32378,22946,920,33731,14122,16,6,43,13,1412,3071,3156,3111,2420,3147,3364,Khazix
3081,JUNGLE,DwJxQGP7EeljzGiWFinUO7mQYZUsU-U_9sjGcOYZvOCCW_E,64,2,8,7,0,1,7737,21140,0,38776,12320,16,2,36,14,1412,3071,2421,3047,3053,1031,3340,LeeSin
3088,JUNGLE,PCMDHbXfu008zLzjAu26iYiY_HKuiv-0dz7W41pvEqebL5Y,59,6,4,12,3,2,9531,9849,3181,17491,9295,12,1,15,20,3077,2031,3111,3071,1400,0,3364,JarvanIV
3099,JUNGLE,jq4Qgt51uqqy5D2L_RGfkedAyAXlvRMR5dlkxNP8ZPjg8rg,421,7,4,5,4,1,7817,26258,2889,20394,9958,12,6,19,12,3071,2055,3052,1400,3047,1037,3364,RekSai
3104,JUNGLE,c_0bfeMnm5anRCEEz5gzAjan_mplOMO9XdJ250vrXeuzrHI8Hz5l0gKF,59,3,5,10,3,1,11800,11099,0,23963,11291,15,11,68,22,3026,0,0,3071,1412,3047,3364,JarvanIV
3115,JUNGLE,c_0bfeMnm5anRCEEz5gzAjan_mplOMO9XdJ250vrXeuzrHI8Hz5l0gKF,60,6,5,6,4,1,14539,18031,1107,18218,8712,12,4,35,28,2421,1402,3916,1082,3020,1026,3364,Elise
3144,JUNGLE,c_0bfeMnm5anRCEEz5gzAjan_mplOMO9XdJ250vrXeuzrHI8Hz5l0gKF,64,10,2,8,7,2,13305,30675,1777,21963,11954,14,10,30,20,3077,2055,3071,3047,3155,1412,3340,LeeSin
3147,JUNGLE,c_0bfeMnm5anRCEEz5gzAjan_mplOMO9XdJ250vrXeuzrHI8Hz5l0gKF,64,4,7,5,2,1,12301,16240,0,30210,9105,12,11,24,14,1033,2055,3071,1028,1412,3047,3340,LeeSin
3172,JUNGLE,Y8kA4ZMoukw0vTnOg_qD8pThJ3pk_3bbRZ2ZMb_-88G-1ok,60,6,11,10,2,1,15988,26688,3133,35636,13711,16,11,65,27,3157,3152,2055,1402,3020,3102,3364,Elise
3189,JUNGLE,c_0bfeMnm5anRCEEz5gzAjan_mplOMO9XdJ250vrXeuzrHI8Hz5l0gKF,163,8,6,11,2,2,24188,24777,3363,30811,15265,17,7,47,19,3157,3135,3165,1082,3020,1402,3364,Taliyah
3212,JUNGLE,6ltVqVNnOZQMy3B3AYXHWEETA-Yn4JSJY5bt78Y0mYDKcDk,64,12,7,14,7,2,23191,38897,2013,41236,16348,18,9,45,26,1412,3111,3748,3026,2055,3071,3340,LeeSin
3219,JUNGLE,iu6kJ-OMgujMs8YxifjErYUmlAWLeKFVsygnQ4KdnUQpAQ,113,2,7,4,0,1,8373,4578,0,26571,5916,10,3,23,21,2031,3067,1029,3047,1413,1033,3340,Sejuani
3233,JUNGLE,6ltVqVNnOZQMy3B3AYXHWEETA-Yn4JSJY5bt78Y0mYDKcDk,64,1,5,8,0,1,8733,2908,0,19497,6933,11,6,20,17,1412,3111,3077,2031,2055,3067,3340,LeeSin
3234,JUNGLE,6ltVqVNnOZQMy3B3AYXHWEETA-Yn4JSJY5bt78Y0mYDKcDk,5,4,7,4,0,1,13667,6413,2127,24831,9511,12,2,11,17,1412,3047,3078,3052,2055,1028,3364,XinZhao
3235,JUNGLE,Kus0HrRTBi9BoCuMcqvMlOHrkiQpjBvEslF2552yoESv7w,20,0,4,15,0,0,8679,16020,1254,28009,9144,14,8,34,30,1401,3076,2055,3111,1011,1031,3340,Nunu
3236,JUNGLE,U8Jkzv5m8n-5hcf1PnH5-LNG4uUnQ9zQ22B2Ch3FuAVJyubK7WO3rQMX,113,2,8,9,0,1,11488,5222,938,30225,9329,13,10,45,25,1401,2421,3109,1029,3076,3047,3364,Sejuani
3247,JUNGLE,Lkk1EUHul9rMyExsyBGliHAH-Cr8jmWUpGrsdnFawG6BwA,203,7,4,13,4,1,20448,24676,2908,21422,11401,14,1,23,10,1412,3031,1042,3046,0,3006,3340,Kindred
3251,JUNGLE,LFXVvZu7D7m4ueo3bWCTfPUwVhgkx8BtLM9I6Eqb9iZ5ykDLlT402Cb4,254,5,7,10,3,2,10312,29797,434,24241,11283,14,9,31,23,3047,1400,3026,3071,1033,1036,3364,Vi
3252,JUNGLE,1G--osatvx_gHrKjO6TJFJ1oPcKBt2YBgpE4N6dgBm_lDw,113,2,2,10,0,1,6770,23494,1114,21987,9065,13,3,21,15,1413,1028,3083,0,3024,3111,3364,Sejuani
3268,JUNGLE,EB6APmU7drpHhnjflfZK3NmmWX8uydcQr9SGp-FfNuTDD1U,121,9,1,9,8,2,17267,22544,1030,22868,11239,15,5,30,6,1412,3026,1001,3147,0,0,3364,Khazix
3282,JUNGLE,JPbKUctMLj55bCbBRWmKjpJEZ5P-EEiSEOWZoUKmacBc6E4fhGfNMpds,64,8,1,10,7,2,12310,55318,2196,37683,14586,18,8,31,12,0,3071,3026,1400,3155,3047,3340,LeeSin
