,Lane,Summoner,Champion,Kills,Deaths,Assists,Killing_Spree,Multikills,Total_Damage,Damage_To_Objectives,Damage_To_Turrets,Damage_Taken,Gold_Earned,Champ_Level,Wards_Bought,Vision_Score,Crowd_Controls,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,champion_name
4400,MIDDLE,cwOi5dmhLq9RRqvY0nYv9sekjYCsXo0seqJzalrkA5EOsV0,103,3,4,8,3,2,16165,7532,3875,10686,9220,14,6,28,35,3905,3030,1058,1056,1058,2422,3340,Ahri
4413,MIDDLE,korRWjwGWmdQK3Qv0yQPxAcreyvrlm78USeC2x_o5RzH4A,61,3,1,13,3,1,9844,2954,1496,6786,9261,13,1,10,12,1082,2033,2420,3191,3285,3020,3340,Orianna
4418,MIDDLE,MJGDIcoEHvYazNpkUN8r-Nu6mODdhL9ofNufLgil22vQug,131,6,7,3,4,2,11689,3500,3500,14671,9093,12,2,13,6,1082,1056,3157,0,3089,3020,3364,Diana
4432,MIDDLE,QVNEr1qu7uCKD_XSpL6ho2WNiRhJikQTc4K3xhg2g1C0FCE,55,11,11,8,5,2,24172,2674,557,25401,12454,15,0,16,2,3165,3146,3157,1026,3020,1052,3340,Katarina
4448,MIDDLE,pABgmovHF4o0fkvV07C0tyAMO4ohie9lgkV3kNymHXscISS1FPzYmusB,518,9,3,8,6,2,23352,7479,7479,15683,11864,15,5,32,64,3030,3905,2065,3101,3101,3020,3340,Neeko
4477,MIDDLE,G4fmnU7si53i8ZfqIbZvpxsEb1Md5dpmsN3fadbgwB2EVlY_O_XuZwZG,238,15,4,4,6,3,21527,7052,5174,16389,15558,16,2,27,6,3142,3026,3147,3071,3134,3111,3340,Zed
4487,MIDDLE,9VauTtupP16Qk7WT_j9-5xNH9eWvbZhcHXQm6sDjHjb83g,115,1,2,9,0,1,7521,6132,5715,5797,6777,12,6,19,4,1056,3020,0,1082,1052,3285,3340,Ziggs
4490,MIDDLE,pbngi_DZNyqf6m0V6en-jK8KlC4FuNz7-uTtm3Gc-FzMRkE,38,5,4,1,3,1,6943,4663,1949,15241,7982,13,0,9,7,3100,3040,1082,0,1001,0,3364,Kassadin
4498,MIDDLE,fSEMt2d2I1Ze7dOAPLfZLFs_ZmGeLq7WnXcOElulwGlWqA,7,12,4,8,10,2,21759,13247,8414,18704,14256,16,4,23,13,2420,3089,3089,1082,3285,3020,3364,Leblanc
4504,MIDDLE,QTJIMVHOllBYkavZD8f5qDMBlP-6EFtu5ZD2v9Dgq5V6UNY,34,5,4,7,3,1,13249,15416,3613,28168,12672,16,1,25,37,3040,2421,3151,3027,3108,3020,3340,Anivia
